against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,classfication,experience_growth,height_m,percentage_male,pokedex_number,weight_kg
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,318,45,Seed Pokémon,1059860,0.7,88.1,1,6.9
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,318,45,Seed Pokémon,1059860,0.7,88.1,1,6.9
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,405,45,Seed Pokémon,1059860,1.0,88.1,2,13.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,405,45,Seed Pokémon,1059860,1.0,88.1,2,13.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,625,45,Seed Pokémon,1059860,2.0,88.1,3,100.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,625,45,Seed Pokémon,1059860,2.0,88.1,3,100.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,309,45,Lizard Pokémon,1059860,0.6,88.1,4,8.5
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,309,45,Lizard Pokémon,1059860,0.6,88.1,4,8.5
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,405,45,Flame Pokémon,1059860,1.1,88.1,5,19.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,405,45,Flame Pokémon,1059860,1.1,88.1,5,19.0
0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,5120,70,634,45,Flame Pokémon,1059860,1.7,88.1,6,90.5
0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,5120,70,634,45,Flame Pokémon,1059860,1.7,88.1,6,90.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,314,45,Tiny Turtle Pokémon,1059860,0.5,88.1,7,9.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,314,45,Tiny Turtle Pokémon,1059860,0.5,88.1,7,9.0
